День|Время|20.Б01-мкн|20.Б02-мкн|20.Б03-мкн|20.Б04-мкн|20.Б05-мкн|20.Б06-мкн|19.Б01-мкн|19.Б02-мкн|19.Б03-мкн|19.Б05-мкн|18.Б01-мкн|18.Б02-мкн|18.Б03-мкн|17.Б01-мкн|17.Б02-мкн
3|14:00 - 15:35|||||||||||Алгебры и группы Ли,  лекция, Н.А.Вавилов; 201                                                                      Symplectic geometry and topology, семинар, Н.С.Калинин; TEAMS                                 Введение в теорию функции Беллмана, лекция, В.И.Васюнин; 203                               Трёхмерное компьютерное зрение, лекция Бугаев, совместно с СП с 14:00;                                                  Теория кодов, исправляющих ошибки, семинар, С.А.Пузынина с 08.10.2020, 103            |Алгебры и группы Ли,  лекция, Н.А.Вавилов; 201                                                                      Symplectic geometry and topology, семинар, Н.С.Калинин; TEAMS                                 Введение в теорию функции Беллмана, лекция, В.И.Васюнин; 203                               Трёхмерное компьютерное зрение, лекция Бугаев, совместно с СП с 14:00;                                                  Теория кодов, исправляющих ошибки, семинар, С.А.Пузынина с 08.10.2020, 103            |Алгебры и группы Ли,  лекция, Н.А.Вавилов; 201                                                                      Symplectic geometry and topology, семинар, Н.С.Калинин; TEAMS                                 Введение в теорию функции Беллмана, лекция, В.И.Васюнин; 203                               Трёхмерное компьютерное зрение, лекция Бугаев, совместно с СП с 14:00;                                                  Теория кодов, исправляющих ошибки, семинар, С.А.Пузынина с 08.10.2020, 103            |Алгебры и группы Ли,  лекция, Н.А.Вавилов; 201                                                                                          Symplectic geometry and topology, семинар, Н.С.Калинин;   TEAMS                                                                          Введение в теорию функции Беллмана, лекция, В.И.Васюнин; 203                                         Трёхмерное компьютерное зрение, лекция Бугаев, совместно с СП с 14:00;                                         Теория кодов, исправляющих ошибки, семинар, С.А.Пузынина с 08.10.2020, 103  |Алгебры и группы Ли,  лекция, Н.А.Вавилов; 201                                                                                          Symplectic geometry and topology, семинар, Н.С.Калинин;   TEAMS                                                                          Введение в теорию функции Беллмана, лекция, В.И.Васюнин; 203                                         Трёхмерное компьютерное зрение, лекция Бугаев, совместно с СП с 14:00;                                         Теория кодов, исправляющих ошибки, семинар, С.А.Пузынина с 08.10.2020, 103  
3|15:25 - 17:00||||Мат.основы алгоритмов, практика, И.С.Казменко TEAMS |Мат.анализ, практика, Ю.С.Белов, 1,5 пары -  Ф.В.Петров TEAMS||Математический анализ, лекция, С.В. Кисляков  101|Математический анализ, лекция, С.В. Кисляков  101|Математический анализ, лекция, С.В. Кисляков  101|Математический анализ, лекция, С.В. Кисляков  101|Эллиптические кривые, лекция, М.В.Бондарко; 201                                                                                                                                              Knot invariants, лекция, М.В.Карев   202                                                                                                    Динамика негиперболических систем, лекция, С.Б.Тихомиров  203                                                    Мат.логика, практика, Д.О.Соколов, 1 раз.в 2 недели , с 24.09, группа 18.Б02-мкн , 103                                                                                   |Эллиптические кривые, лекция, М.В.Бондарко; 201                                                                                                                                              Knot invariants, лекция, М.В.Карев   202                                                                                                    Динамика негиперболических систем, лекция, С.Б.Тихомиров  203                                                    Мат.логика, практика, Д.О.Соколов, 1 раз.в 2 недели , с 24.09, группа 18.Б02-мкн , 103                                                                                   |Эллиптические кривые, лекция, М.В.Бондарко; 201                                                                                                                                              Knot invariants, лекция, М.В.Карев   202                                                                                                    Динамика негиперболических систем, лекция, С.Б.Тихомиров  203                                                    Мат.логика, практика, Д.О.Соколов, 1 раз.в 2 недели , с 24.09, группа 18.Б02-мкн , 103                                                                                   |Эллиптические кривые, лекция, М.В.Бондарко; 201                                                                                                      Knot invariants, лекция, М.В.Карев  202                                                                                                                Динамика негиперболических систем, лекция, С.Б.Тихомиров  203                                                   |Эллиптические кривые, лекция, М.В.Бондарко; 201                                                                                                      Knot invariants, лекция, М.В.Карев  202                                                                                                                Динамика негиперболических систем, лекция, С.Б.Тихомиров  203                                                   
3|16:20 - 17:55|||Основы наивной теории множеств, практика, А.В.Тискин, до 22.10.2020.,  с 16:20 TEAMS||||||||||||
3|17:10 - 18:45||||||||||Принципы организации и архитектура компьютерных систем, лекция, (48 ч. 1,5 пары с 10.09) 18:30|Современные разделы комбинаторики, семинар, С.А.Пузынина;  201 Алгебраическая K-теория, семинар, А.В.Степанов 202 Bounded arithmetic, лекция, Гарлик (с 24.09);  103                                                                                             Введение в глубокое обучение на практике, семинар, Сурин; 19:00 (1 раз в 2 недели с 10.09) 101|Современные разделы комбинаторики, семинар, С.А.Пузынина;  201 Алгебраическая K-теория, семинар, А.В.Степанов 202 Bounded arithmetic, лекция, Гарлик (с 24.09);  103                                                                                             Введение в глубокое обучение на практике, семинар, Сурин; 19:00 (1 раз в 2 недели с 10.09) 101|Современные разделы комбинаторики, семинар, С.А.Пузынина;  201 Алгебраическая K-теория, семинар, А.В.Степанов 202 Bounded arithmetic, лекция, Гарлик (с 24.09);  103                                                                                             Введение в глубокое обучение на практике, семинар, Сурин; 19:00 (1 раз в 2 недели с 10.09) 101|Современные разделы комбинаторики, семинар, С.А.Пузынина;201  Алгебраическая K-теория, семинар, А.В.Степанов 202 Bounded arithmetic, лекция, Гарлик (с 24.09);  103                                                                                 |Современные разделы комбинаторики, семинар, С.А.Пузынина;201  Алгебраическая K-теория, семинар, А.В.Степанов 202 Bounded arithmetic, лекция, Гарлик (с 24.09);  103                                                                                 
4|09:30 - 11:05|||||||Философия, онлайн-курс, с 20.11.2020., Цыпина Л.В., TEAMS|Философия, онлайн-курс, с 20.11.2020., Цыпина Л.В., TEAMS|Философия, онлайн-курс, с 20.11.2020., Цыпина Л.В., TEAMS||Английский язык Карташева Е.В. 102 Троц А.В. (спец. группа №1) 103 Хараг Н.Б.    101   Введение в биоинформатику, лекция, К.В.Вяткина;  202       |Английский язык Карташева Е.В. 102 Троц А.В. (спец. группа №1) 103 Хараг Н.Б.    101   Введение в биоинформатику, лекция, К.В.Вяткина;  202       |Английский язык Карташева Е.В. 102 Троц А.В. (спец. группа №1) 103 Хараг Н.Б.    101   Введение в биоинформатику, лекция, К.В.Вяткина;  202       |Теория аппроксимации, Фролов 302      Введение в биоинформатику, лекция, К.В.Вяткина;       202  |Теория аппроксимации, Фролов 302      Введение в биоинформатику, лекция, К.В.Вяткина;       202  
4|14:00 - 15:35|С 09.10.2020. Алгебра, лекция, В.А.Петров https://www.lektorium.tv/lecture/29496  консультация состоится в субботу, 12.12.2020. в 14-00, канал ZOOM 301 |С 09.10.2020. Алгебра, лекция, В.А.Петров https://www.lektorium.tv/lecture/29496  консультация состоится в субботу, 12.12.2020. в 14-00, канал ZOOM 301 |С 09.10.2020. Алгебра, лекция, В.А.Петров https://www.lektorium.tv/lecture/29496  консультация состоится в субботу, 12.12.2020. в 14-00, канал ZOOM 301 |С 09.10.2020. Алгебра, лекция, В.А.Петров https://www.lektorium.tv/lecture/29496  консультация состоится в субботу, 12.12.2020. в 14-00, канал ZOOM 301 |С 09.10.2020. Алгебра, лекция, В.А.Петров https://www.lektorium.tv/lecture/29496  консультация состоится в субботу, 12.12.2020. в 14-00, канал ZOOM 301 |С 09.10.2020. Алгебра, лекция, В.А.Петров https://www.lektorium.tv/lecture/29496  консультация состоится в субботу, 12.12.2020. в 14-00, канал ZOOM 301 |||||||||
4|11:15 - 12:50||||||| Английский язык Карташева Е.В.102 Хараг Н.Б. 101 Парфёнов А.С. 104| Английский язык Карташева Е.В.102 Хараг Н.Б. 101 Парфёнов А.С. 104| Английский язык Карташева Е.В.102 Хараг Н.Б. 101 Парфёнов А.С. 104| Английский язык Карташева Е.В.102 Хараг Н.Б. 101 Парфёнов А.С. 104|Машинное обучение, лекция, Сухочев, совместно с СП                                                                                                      |Машинное обучение, лекция, Сухочев, совместно с СП                                                                                                      |Машинное обучение, лекция, Сухочев, совместно с СП                                                                                                      |Машинное обучение, лекция, Сухочев, совместно с СП                                                                                                                                           Modern Dynamical Systems. Autumn, семинар, С.Ю.Пилюгин 301                   |Машинное обучение, лекция, Сухочев, совместно с СП                                                                                                                                           Modern Dynamical Systems. Autumn, семинар, С.Ю.Пилюгин 301                   
4|10:40 - 12:15|С 09.10.2020.Дискретная математика, лекция, А.В.Тискин, (24 часа, 1,5 пары - с 10-40) до 20.10.2020. доставить 1 пару/  Мат.основы алгоритмов, лекция, А.С.Охотин, (24 часа, 1,5 пары - с 10-40) с 06.11.2020. ZOOM канал 203|С 09.10.2020.Дискретная математика, лекция, А.В.Тискин, (24 часа, 1,5 пары - с 10-40) до 20.10.2020. доставить 1 пару/  Мат.основы алгоритмов, лекция, А.С.Охотин, (24 часа, 1,5 пары - с 10-40) с 06.11.2020. ZOOM канал 203|С 09.10.2020.Дискретная математика, лекция, А.В.Тискин, (24 часа, 1,5 пары - с 10-40) до 20.10.2020. доставить 1 пару/  Мат.основы алгоритмов, лекция, А.С.Охотин, (24 часа, 1,5 пары - с 10-40) с 06.11.2020. ZOOM канал 203|С 09.10.2020.Дискретная математика, лекция, А.В.Тискин, (24 часа, 1,5 пары - с 10-40) до 20.10.2020. доставить 1 пару/  Мат.основы алгоритмов, лекция, А.С.Охотин, (24 часа, 1,5 пары - с 10-40) с 06.11.2020. ZOOM канал 203|С 09.10.2020.Дискретная математика, лекция, А.В.Тискин, (24 часа, 1,5 пары - с 10-40) до 20.10.2020. доставить 1 пару/  Мат.основы алгоритмов, лекция, А.С.Охотин, (24 часа, 1,5 пары - с 10-40) с 06.11.2020. ZOOM канал 203|С 09.10.2020.Дискретная математика, лекция, А.В.Тискин, (24 часа, 1,5 пары - с 10-40) до 20.10.2020. доставить 1 пару/  Мат.основы алгоритмов, лекция, А.С.Охотин, (24 часа, 1,5 пары - с 10-40) с 06.11.2020. ZOOM канал 203|||||||||
4|13:40 - 15:15|ПЕРЕРЫВ|ПЕРЕРЫВ|ПЕРЕРЫВ|ПЕРЕРЫВ|ПЕРЕРЫВ|ПЕРЕРЫВ| Английский язык Карташева Е.В. 102 Троц А.В.103 Хараг Н.Б. 101 Новикова Д.К. 104 Парфёнов А.С. 201| Английский язык Карташева Е.В. 102 Троц А.В.103 Хараг Н.Б. 101 Новикова Д.К. 104 Парфёнов А.С. 201| Английский язык Карташева Е.В. 102 Троц А.В.103 Хараг Н.Б. 101 Новикова Д.К. 104 Парфёнов А.С. 201| Английский язык Карташева Е.В. 102 Троц А.В.103 Хараг Н.Б. 101 Новикова Д.К. 104 Парфёнов А.С. 201|30.10.2020. -Современный анализ, семинар, В.В.Пеллер 303                                                        Введение в квантовые вычисления, семинар, А.С.Охотин;  202  - ПЕРЕНОС НА ТРЕТЬЮ ПАРУ 05.09.2020.                                                                                                                                                         Замощения плоскости, семинар, С.А.Пузынина; 203                                                                      |30.10.2020. -Современный анализ, семинар, В.В.Пеллер 303                                                        Введение в квантовые вычисления, семинар, А.С.Охотин;  202  - ПЕРЕНОС НА ТРЕТЬЮ ПАРУ 05.09.2020.                                                                                                                                                         Замощения плоскости, семинар, С.А.Пузынина; 203                                                                      |30.10.2020. -Современный анализ, семинар, В.В.Пеллер 303                                                        Введение в квантовые вычисления, семинар, А.С.Охотин;  202  - ПЕРЕНОС НА ТРЕТЬЮ ПАРУ 05.09.2020.                                                                                                                                                         Замощения плоскости, семинар, С.А.Пузынина; 203                                                                      |Современный анализ, семинар, В.В.Пеллер 303                                                                          Введение в квантовые вычисления, семинар, А.С.Охотин; 202  - ПЕРЕНОС НА ТРЕТЬЮ ПАРУ 05.09.2020.                                                                                                                                Замощения плоскости, семинар, С.А.Пузынина; 203                                                                                                     Доп. главы эргодической теории, семинар, П.Б.Затицкий   301                                                   |Современный анализ, семинар, В.В.Пеллер 303                                                                          Введение в квантовые вычисления, семинар, А.С.Охотин; 202  - ПЕРЕНОС НА ТРЕТЬЮ ПАРУ 05.09.2020.                                                                                                                                Замощения плоскости, семинар, С.А.Пузынина; 203                                                                                                     Доп. главы эргодической теории, семинар, П.Б.Затицкий   301                                                   
4|15:25 - 17:10|Английский язык  Карташева Е.В. 102 Троц А.В.103 Хараг Н.Б. 101 Новикова Д.К. 104 Шашукова 304 ОНЛАЙН с 16.09.2020.|Английский язык  Карташева Е.В. 102 Троц А.В.103 Хараг Н.Б. 101 Новикова Д.К. 104 Шашукова 304 ОНЛАЙН с 16.09.2020.|Английский язык  Карташева Е.В. 102 Троц А.В.103 Хараг Н.Б. 101 Новикова Д.К. 104 Шашукова 304 ОНЛАЙН с 16.09.2020.|Английский язык  Карташева Е.В. 102 Троц А.В.103 Хараг Н.Б. 101 Новикова Д.К. 104 Шашукова 304 ОНЛАЙН с 16.09.2020.|Английский язык  Карташева Е.В. 102 Троц А.В.103 Хараг Н.Б. 101 Новикова Д.К. 104 Шашукова 304 ОНЛАЙН с 16.09.2020.|Английский язык  Карташева Е.В. 102 Троц А.В.103 Хараг Н.Б. 101 Новикова Д.К. 104 Шашукова 304 ОНЛАЙН с 16.09.2020.|||Теоретическая информатика, практика, А.В. Тискин с 06.11.2020 TEAMS  ||Введение в неклассические логики, семинар, С.О.Сперанский; 301                                                            Выпуклые множества, семинар, Г.Ю.Панина (свой канал)                                                      |Введение в неклассические логики, семинар, С.О.Сперанский; 301                                                            Выпуклые множества, семинар, Г.Ю.Панина (свой канал)                                                      |Введение в неклассические логики, семинар, С.О.Сперанский; 301                                                            Выпуклые множества, семинар, Г.Ю.Панина (свой канал)                                                      |Введение в неклассические логики, семинар, С.О.Сперанский; 301                                                  Выпуклые множества, семинар, Д.А.Мамаев (свой канал)    Интегрируемая вероятность факультатив, П.П.Никитин, 201              |Введение в неклассические логики, семинар, С.О.Сперанский; 301                                                  Выпуклые множества, семинар, Д.А.Мамаев (свой канал)    Интегрируемая вероятность факультатив, П.П.Никитин, 201              
4|17:10 - 18:45|Английский язык Шашукова А.С. 304 ОНЛАЙН с 16.09.2020.|Английский язык Шашукова А.С. 304 ОНЛАЙН с 16.09.2020.|Английский язык Шашукова А.С. 304 ОНЛАЙН с 16.09.2020.|Английский язык Шашукова А.С. 304 ОНЛАЙН с 16.09.2020.|Английский язык Шашукова А.С. 304 ОНЛАЙН с 16.09.2020.|Английский язык Шашукова А.С. 304 ОНЛАЙН с 16.09.2020.||||Теоретическая информатика, практика, А.В. Тискин с 06.11.2020 TEAMS  |Английский язык Карташева Е.В. 102 Троц А.В. (спец. группа №2) 103 Хараг Н.Б. 101   Теория операторов в гильбертовом пространстве, семинар, А.И.Кароль    203 |Английский язык Карташева Е.В. 102 Троц А.В. (спец. группа №2) 103 Хараг Н.Б. 101   Теория операторов в гильбертовом пространстве, семинар, А.И.Кароль    203 |Английский язык Карташева Е.В. 102 Троц А.В. (спец. группа №2) 103 Хараг Н.Б. 101   Теория операторов в гильбертовом пространстве, семинар, А.И.Кароль    203 |6 ноября НЕ БУДЕТ, перенос на другой день Глубокое обучение, семинар, А.П.Давыдов;  301                                                                                                                                                                                                        Теория операторов в гильбертовом пространстве, семинар, А.И.Кароль     203|6 ноября НЕ БУДЕТ, перенос на другой день Глубокое обучение, семинар, А.П.Давыдов;  301                                                                                                                                                                                                        Теория операторов в гильбертовом пространстве, семинар, А.И.Кароль     203
5|09:30 - 11:05||||||||||| Вероятностные алгоритмы, лекция, И.А.Близнец;  201                          Введение в глубокое обучение на практике, факультатив,лекция, Сурин| Вероятностные алгоритмы, лекция, И.А.Близнец;  201                          Введение в глубокое обучение на практике, факультатив,лекция, Сурин| Вероятностные алгоритмы, лекция, И.А.Близнец;  201                          Введение в глубокое обучение на практике, факультатив,лекция, Сурин|Спектральная теория дифференциальных операторов. Часть 1, практика, Н.Д.Филонов; 202                                                                                                                                                             Вероятностные алгоритмы, лекция, И.А.Близнец; 201 Введение в глубокое обучение на практике, факультатив, лекция, Сурин|Спектральная теория дифференциальных операторов. Часть 1, практика, Н.Д.Филонов; 202                                                                                                                                                             Вероятностные алгоритмы, лекция, И.А.Близнец; 201 Введение в глубокое обучение на практике, факультатив, лекция, Сурин
5|11:15 - 12:50|19.12.2020., Мат.анализ, Ю.С.Белов, лекция,  ZOOM 301|19.12.2020., Мат.анализ, Ю.С.Белов, лекция,  ZOOM 301|19.12.2020., Мат.анализ, Ю.С.Белов, лекция,  ZOOM 301|19.12.2020., Мат.анализ, Ю.С.Белов, лекция,  ZOOM 301|19.12.2020., Мат.анализ, Ю.С.Белов, лекция,  ZOOM 301|19.12.2020., Мат.анализ, Ю.С.Белов, лекция,  ZOOM 301|||||7 ноября НЕ БУДЕТ, перенос на другой день Сетевые алгоритмы, семинар, А.П.Давыдов; 201                                                                                                                                                              Алгоритмические вопросы трёхмерной топологии,  семинар, Е.А.Фоминых TEAMS|7 ноября НЕ БУДЕТ, перенос на другой день Сетевые алгоритмы, семинар, А.П.Давыдов; 201                                                                                                                                                              Алгоритмические вопросы трёхмерной топологии,  семинар, Е.А.Фоминых TEAMS|7 ноября НЕ БУДЕТ, перенос на другой день Сетевые алгоритмы, семинар, А.П.Давыдов; 201                                                                                                                                                              Алгоритмические вопросы трёхмерной топологии,  семинар, Е.А.Фоминых TEAMS|7 ноября НЕ БУДЕТ, перенос на другой день Сетевые алгоритмы, семинар, А.П.Давыдов; 201                                                                                                                                                                         Алгоритмические вопросы трёхмерной топологии,  семинар, Е.А.Фоминых TEAMS|7 ноября НЕ БУДЕТ, перенос на другой день Сетевые алгоритмы, семинар, А.П.Давыдов; 201                                                                                                                                                                         Алгоритмические вопросы трёхмерной топологии,  семинар, Е.А.Фоминых TEAMS
5|13:40 - 15:15|||||||||||Алгебры и группы Ли,  семинар, Н.А.Вавилов;  201                                                                                       Введение в теорию функции Беллмана, семинар, В.И.Васюнин; 202                                       Динамика негиперболических систем, семинар, С.Б.Тихомиров  203                                 05.09.2020. Введение в квантовые вычисления, семинар, А.С.Охотин, 104|Алгебры и группы Ли,  семинар, Н.А.Вавилов;  201                                                                                       Введение в теорию функции Беллмана, семинар, В.И.Васюнин; 202                                       Динамика негиперболических систем, семинар, С.Б.Тихомиров  203                                 05.09.2020. Введение в квантовые вычисления, семинар, А.С.Охотин, 104|Алгебры и группы Ли,  семинар, Н.А.Вавилов;  201                                                                                       Введение в теорию функции Беллмана, семинар, В.И.Васюнин; 202                                       Динамика негиперболических систем, семинар, С.Б.Тихомиров  203                                 05.09.2020. Введение в квантовые вычисления, семинар, А.С.Охотин, 104|Алгебры и группы Ли,  семинар, Н.А.Вавилов;  201                                                                                       Введение в теорию функции Беллмана, семинар, В.И.Васюнин;  202                                      Динамика негиперболических систем, семинар, С.Б.Тихомиров    203                                  05.09.2020. Введение в квантовые вычисления, семинар, А.С.Охотин, 104|Алгебры и группы Ли,  семинар, Н.А.Вавилов;  201                                                                                       Введение в теорию функции Беллмана, семинар, В.И.Васюнин;  202                                      Динамика негиперболических систем, семинар, С.Б.Тихомиров    203                                  05.09.2020. Введение в квантовые вычисления, семинар, А.С.Охотин, 104
5|14:00 - 15:35|Алгебра, лекция, В.А.Петров, консультация, в 14-00, ZOOM 301|Алгебра, лекция, В.А.Петров, консультация, в 14-00, ZOOM 301|Алгебра, лекция, В.А.Петров, консультация, в 14-00, ZOOM 301|Алгебра, лекция, В.А.Петров, консультация, в 14-00, ZOOM 301|Алгебра, лекция, В.А.Петров, консультация, в 14-00, ZOOM 301|Алгебра, лекция, В.А.Петров, консультация, в 14-00, ZOOM 301|||||||||
5|15:25 - 17:00|||||||||||Lie algebras in combinatorics, лекция, Постнова; 201|Lie algebras in combinatorics, лекция, Постнова; 201|Lie algebras in combinatorics, лекция, Постнова; 201|Гауссовские случайные процессы, семинар, М.А.Лифшиц   202                                                     Lie algebras in combinatorics, лекция, Постнова; 201|Гауссовские случайные процессы, семинар, М.А.Лифшиц   202                                                     Lie algebras in combinatorics, лекция, Постнова; 201
